1	chr1
AADN04011417.1	chr1_NT_456806v1_random
AADN04011361.1	chrUn_NT_471145v1
AADN04011363.1	chrUn_NT_471147v1
AADN04011365.1	chrUn_NT_471148v1
AADN04011367.1	chrUn_NT_471149v1
AADN04011370.1	chrUn_NT_471152v1
AADN04011372.1	chrUn_NT_471154v1
AADN04011381.1	chrUn_NT_471158v1
AADN04011422.1	chr4_NT_460014v1_random
AADN04011368.1	chrUn_NT_471150v1
AADN04011369.1	chrUn_NT_471151v1
AADN04011371.1	chrUn_NT_471153v1
AADN04011378.1	chrUn_NT_471156v1
AADN04011373.1	chrUn_NT_471155v1
AADN04011379.1	chrUn_NT_471157v1
AADN04011432.1	chr8_NT_461426v1_random
AADN04011397.1	chr4_NT_460013v1_random
AADN04011454.1	chr2_NT_458298v1_random
AADN04011494.1	chr2_NT_458300v1_random
AADN04011518.1	chr1_NT_456816v1_random
AADN04011386.1	chrUn_NT_471159v1
AADN04011387.1	chrUn_NT_471160v1
AADN04011493.1	chr1_NT_456811v1_random
AADN04011388.1	chr1_NT_456800v1_random
AADN04011391.1	chrZ_NT_464002v1_random
AADN04011395.1	chrUn_NT_471162v1
AADN04011390.1	chrUn_NT_471161v1
AADN04011443.1	chr4_NT_460016v1_random
AADN04011396.1	chr9_NT_461628v1_random
AADN04011398.1	chrUn_NT_471163v1
AADN04011512.1	chr4_NT_460020v1_random
AADN04011639.1	chr4_NT_460027v1_random
AADN04011400.1	chrUn_NT_471164v1
AADN04011401.1	chrUn_NT_471165v1
AADN04011403.1	chrUn_NT_471167v1
AADN04011414.1	chr30_NT_463429v1_random
AADN04011402.1	chrUn_NT_471166v1
AADN04011413.1	chrUn_NT_471173v1
AADN04011404.1	chrUn_NT_471168v1
AADN04011406.1	chr1_NT_456803v1_random
AADN04011411.1	chrUn_NT_471171v1
AADN04011407.1	chrUn_NT_471169v1
AADN04011448.1	chr3_NT_459264v1_random
AADN04011409.1	chr1_NT_456804v1_random
AADN04011410.1	chrUn_NT_471170v1
AADN04011412.1	chrUn_NT_471172v1
AADN04011416.1	chrUn_NT_471174v1
AADN04011425.1	chrUn_NT_471179v1
AADN04011419.1	chrUn_NT_471175v1
AADN04011420.1	chrUn_NT_471176v1
AADN04011423.1	chrUn_NT_471177v1
AADN04011424.1	chrUn_NT_471178v1
AADN04011496.1	chr1_NT_456812v1_random
AADN04011426.1	chrUn_NT_471180v1
AADN04011427.1	chrUn_NT_471181v1
AADN04011428.1	chrUn_NT_471182v1
AADN04011431.1	chrUn_NT_471184v1
AADN04011433.1	chrUn_NT_471185v1
AADN04011385.1	chr8_NT_461425v1_random
AADN04011438.1	chrUn_NT_471186v1
AADN04011517.1	chr1_NT_456815v1_random
AADN04011457.1	chr5_NT_460570v1_random
AADN04011441.1	chrUn_NT_471188v1
AADN04011440.1	chr1_NT_456808v1_random
AADN04011439.1	chrUn_NT_471187v1
AADN04011442.1	chrUn_NT_471189v1
AADN04011473.1	chr18_NT_462671v1_random
AADN04011444.1	chrUn_NT_471190v1
AADN04011445.1	chrUn_NT_471191v1
AADN04011446.1	chrUn_NT_471192v1
AADN04011452.1	chrUn_NT_471194v1
AADN04011447.1	chr1_NT_456809v1_random
AADN04011450.1	chrUn_NT_471193v1
AADN04011482.1	chr12_NT_462095v1_random
AADN04011476.1	chr1_NT_456810v1_random
AADN04011453.1	chrUn_NT_471195v1
AADN04011455.1	chrUn_NT_471196v1
AADN04011456.1	chr27_NT_463340v1_random
AADN04011490.1	chrUn_NT_471218v1
AADN04011503.1	chr1_NT_456813v1_random
AADN04011577.1	chr9_NT_461630v1_random
AADN04011588.1	chr4_NT_460025v1_random
AADN04011459.1	chrUn_NT_471197v1
AADN04011566.1	chr7_NT_461160v1_random
AADN04011460.1	chrUn_NT_471198v1
AADN04011471.1	chr7_NT_461158v1_random
AADN04011535.1	chr1_NT_456819v1_random
AADN04011461.1	chrUn_NT_471199v1
AADN04011462.1	chrUn_NT_471200v1
AADN04011504.1	chr12_NT_462096v1_random
AADN04011463.1	chrUn_NT_471201v1
AADN04011465.1	chrUn_NT_471203v1
AADN04011464.1	chrUn_NT_471202v1
AADN04011492.1	chr4_NT_460019v1_random
AADN04011468.1	chr4_NT_460018v1_random
AADN04011497.1	chr8_NT_461428v1_random
AADN04011524.1	chr1_NT_456818v1_random
AADN04011540.1	chr7_NT_461159v1_random
AADN04011569.1	chr3_NT_459266v1_random
AADN04011475.1	chrUn_NT_471208v1
AADN04011467.1	chr2_NT_458299v1_random
AADN04011469.1	chrUn_NT_471204v1
AADN04011470.1	chrUn_NT_471205v1
AADN04011513.1	chr1_NT_456814v1_random
AADN04011472.1	chrUn_NT_471206v1
AADN04011480.1	chr5_NT_460571v1_random
AADN04011430.1	chr4_NT_460015v1_random
AADN04011474.1	chrUn_NT_471207v1
AADN04011477.1	chrUn_NT_471209v1
AADN04000705.1	chrZ_NT_463590v1_random
AADN04011478.1	chrUn_NT_471210v1
AADN04011479.1	chrUn_NT_471211v1
AADN04011515.1	chr12_NT_462097v1_random
AADN04003189.1	chrZ_NT_463747v1_random
AADN04011481.1	chrUn_NT_471212v1
AADN04011533.1	chr10_NT_461778v1_random
AADN04011558.1	chr1_NT_456822v1_random
AADN04011484.1	chrUn_NT_471213v1
AADN04011485.1	chrUn_NT_471214v1
AADN04011488.1	chr9_NT_461629v1_random
AADN04011486.1	chrUn_NT_471215v1
AADN04011582.1	chr2_NT_458305v1_random
AADN04011487.1	chrUn_NT_471216v1
AADN04011489.1	chrUn_NT_471217v1
AADN04011491.1	chrUn_NT_471219v1
AADN04011519.1	chr1_NT_456817v1_random
AADN04011580.1	chr4_NT_460024v1_random
AADN04011495.1	chrUn_NT_471220v1
AADN04011523.1	chr4_NT_460021v1_random
AADN04011585.1	chr3_NT_459268v1_random
AADN04011594.1	chr13_NT_462262v1_random
AADN04011498.1	chrUn_NT_471221v1
AADN04011499.1	chrUn_NT_471222v1
AADN04011520.1	chrUn_NT_471234v1
AADN04011500.1	chr2_NT_458301v1_random
AADN04011502.1	chrUn_NT_471224v1
AADN04011579.1	chr3_NT_459267v1_random
AADN04011912.1	chr2_NT_458325v1_random
AADN04011507.1	chrUn_NT_471227v1
AADN04011709.1	chr2_NT_458310v1_random
AADN04011505.1	chrUn_NT_471225v1
AADN04011506.1	chrUn_NT_471226v1
AADN04011501.1	chrUn_NT_471223v1
AADN04011508.1	chrUn_NT_471228v1
AADN04011509.1	chrUn_NT_471229v1
AADN04011510.1	chrUn_NT_471230v1
AADN04011511.1	chrUn_NT_471231v1
AADN04011680.1	chr1_NT_456828v1_random
AADN04011662.1	chr1_NT_456826v1_random
AADN04011516.1	chrUn_NT_471233v1
AADN04011554.1	chr1_NT_456821v1_random
AADN04011734.1	chr2_NT_458313v1_random
AADN04011605.1	chr1_NT_456823v1_random
AADN04011538.1	chr27_NT_463341v1_random
AADN04011562.1	chr5_NT_460572v1_random
AADN04011522.1	chrUn_NT_471236v1
AADN04011521.1	chrUn_NT_471235v1
AADN04011514.1	chrUn_NT_471232v1
AADN04011525.1	chrUn_NT_471237v1
AADN04011526.1	chrUn_NT_471238v1
AADN04011528.1	chrUn_NT_471240v1
AADN04011527.1	chrUn_NT_471239v1
AADN04011530.1	chr2_NT_458302v1_random
AADN04011536.1	chrUn_NT_471245v1
AADN04011529.1	chrUn_NT_471241v1
AADN04011537.1	chr1_NT_456820v1_random
AADN04011531.1	chrUn_NT_471242v1
AADN04011532.1	chrUn_NT_471243v1
AADN04011549.1	chr2_NT_458303v1_random
AADN04011572.1	chr6_NT_460921v1_random
AADN04011745.1	chr9_NT_461632v1_random
AADN04011541.1	chr4_NT_460022v1_random
AADN04011544.1	chrUn_NT_471249v1
AADN04011705.1	chr1_NT_456831v1_random
AADN04011534.1	chrUn_NT_471244v1
AADN04011543.1	chrUn_NT_471248v1
AADN04011539.1	chrUn_NT_471246v1
AADN04011542.1	chrUn_NT_471247v1
AADN04011547.1	chrUn_NT_471251v1
AADN04011545.1	chr8_NT_461429v1_random
AADN04011546.1	chrUn_NT_471250v1
AADN04011552.1	chr2_NT_458304v1_random
AADN04011548.1	chrUn_NT_471252v1
AADN04011551.1	chrUn_NT_471254v1
AADN04011550.1	chrUn_NT_471253v1
AADN04011567.1	chrUn_NT_471264v1
AADN04011553.1	chrUn_NT_471255v1
AADN04011651.1	chr6_NT_460922v1_random
AADN04011556.1	chrUn_NT_471256v1
AADN04011667.1	chr3_NT_459273v1_random
AADN04011557.1	chrUn_NT_471257v1
AADN04011559.1	chrUn_NT_471258v1
AADN04011568.1	chrZ_NT_464004v1_random
AADN04011621.1	chr1_NT_456824v1_random
AADN04011561.1	chrUn_NT_471260v1
AADN04011563.1	chrUn_NT_471261v1
AADN04011560.1	chrUn_NT_471259v1
AADN04011564.1	chrUn_NT_471262v1
AADN04011565.1	chrUn_NT_471263v1
AADN04011587.1	chr8_NT_461430v1_random
AADN04011570.1	chrUn_NT_471265v1
AADN04011573.1	chrUn_NT_471266v1
AADN04011627.1	chr4_NT_460026v1_random
AADN04011574.1	chrUn_NT_471267v1
AADN04011638.1	chr3_NT_459270v1_random
AADN04011597.1	chr3_NT_459269v1_random
AADN04011575.1	chrUn_NT_471268v1
AADN04011578.1	chrUn_NT_471269v1
AADN04011581.1	chrUn_NT_471270v1
AADN04011583.1	chrUn_NT_471271v1
AADN04011584.1	chrUn_NT_471272v1
AADN04011610.1	chr2_NT_458306v1_random
AADN04024335.1	chr5_NT_460829v1_random
AADN04011586.1	chrUn_NT_471273v1
AADN04011576.1	chr4_NT_460023v1_random
AADN04011589.1	chrUn_NT_471274v1
AADN04011590.1	chrUn_NT_471275v1
AADN04011592.1	chrUn_NT_471277v1
AADN04011641.1	chr2_NT_458307v1_random
AADN04011593.1	chrUn_NT_471278v1
AADN04011669.1	chr3_NT_459274v1_random
AADN04011676.1	chr3_NT_459276v1_random
AADN04011595.1	chrUn_NT_471279v1
AADN04011596.1	chrUn_NT_471280v1
AADN04011599.1	chrUn_NT_471282v1
AADN04011591.1	chrUn_NT_471276v1
AADN04011598.1	chrUn_NT_471281v1
AADN04011642.1	chr4_NT_460028v1_random
AADN04011600.1	chrUn_NT_471283v1
AADN04011601.1	chrUn_NT_471284v1
AADN04011602.1	chrUn_NT_471285v1
AADN04011698.1	chr1_NT_456830v1_random
AADN04011608.1	chrUn_NT_471290v1
AADN04011644.1	chr3_NT_459271v1_random
AADN04011603.1	chrUn_NT_471286v1
AADN04011604.1	chrUn_NT_471287v1
AADN04011614.1	chrUn_NT_471295v1
AADN04011606.1	chrUn_NT_471288v1
AADN04011607.1	chrUn_NT_471289v1
AADN04011645.1	chr2_NT_458308v1_random
AADN04011656.1	chr5_NT_460573v1_random
AADN04011609.1	chrUn_NT_471291v1
AADN04011666.1	chr1_NT_456827v1_random
AADN04011690.1	chr24_NT_463161v1_random
AADN04011611.1	chrUn_NT_471292v1
AADN04011681.1	chr10_NT_461779v1_random
AADN04011613.1	chrUn_NT_471294v1
AADN04011612.1	chrUn_NT_471293v1
AADN04011615.1	chrUn_NT_471296v1
AADN04011618.1	chrUn_NT_471298v1
KQ759687.1	chrUn_NT_471297v1
AADN04011619.1	chrUn_NT_471299v1
AADN04011623.1	chrUn_NT_471302v1
AADN04011622.1	chrUn_NT_471301v1
AADN04001388.1	chrZ_NT_463640v1_random
AADN04011620.1	chrUn_NT_471300v1
AADN04011674.1	chr4_NT_460029v1_random
AADN04011759.1	chr1_NT_456836v1_random
AADN04011655.1	chrUn_NT_471318v1
AADN04011624.1	chrUn_NT_471303v1
AADN04011626.1	chrUn_NT_471305v1
AADN04011719.1	chr19_NT_462747v1_random
AADN04011670.1	chr7_NT_461161v1_random
AADN04011625.1	chrUn_NT_471304v1
AADN04011706.1	chr5_NT_460575v1_random
AADN04011757.1	chr10_NT_461780v1_random
AADN04011633.1	chr1_NT_456825v1_random
AADN04011628.1	chrUn_NT_471306v1
AADN04011629.1	chrUn_NT_471307v1
AADN04011630.1	chrUn_NT_471308v1
AADN04011632.1	chrUn_NT_471309v1
AADN04011635.1	chrUn_NT_471310v1
AADN04011636.1	chrUn_NT_471311v1
AADN04011697.1	chr8_NT_461431v1_random
AADN04011637.1	chrUn_NT_471312v1
AADN04011736.1	chr5_NT_460577v1_random
AADN04011646.1	chr26_NT_463296v1_random
AADN04011640.1	chrUn_NT_471313v1
AADN04011643.1	chrUn_NT_471314v1
AADN04011649.1	chr3_NT_459272v1_random
AADN04011647.1	chrUn_NT_471315v1
AADN04011764.1	chr4_NT_460030v1_random
AADN04011794.1	chr5_NT_460580v1_random
AADN04011837.1	chr3_NT_459283v1_random
AADN04011668.1	chr27_NT_463342v1_random
AADN04011782.1	chr11_NT_461945v1_random
AADN04011652.1	chrUn_NT_471317v1
AADN04011657.1	chrUn_NT_471319v1
AADN04011658.1	chrUn_NT_471320v1
AADN04011686.1	chr1_NT_456829v1_random
AADN04011717.1	chr11_NT_461944v1_random
AADN04011648.1	chr2_NT_458309v1_random
AADN04011659.1	chrUn_NT_471321v1
AADN04011660.1	chrUn_NT_471322v1
AADN04011661.1	chrUn_NT_471323v1
AADN04011713.1	chr2_NT_458311v1_random
AADN04011663.1	chrUn_NT_471324v1
AADN04011665.1	chrUn_NT_471326v1
AADN04011848.1	chr2_NT_458322v1_random
AADN04011673.1	chrUn_NT_471328v1
AADN04011777.1	chr7_NT_461162v1_random
AADN04011812.1	chr4_NT_460031v1_random
AADN04011650.1	chrUn_NT_471316v1
AADN04011672.1	chrUn_NT_471327v1
AADN04011664.1	chrUn_NT_471325v1
AADN04011675.1	chrUn_NT_471329v1
AADN04011682.1	chrUn_NT_471332v1
AADN04011679.1	chrUn_NT_471331v1
AADN04011677.1	chrUn_NT_471330v1
AADN04011683.1	chrUn_NT_471333v1
AADN04011741.1	chr20_NT_462875v1_random
AADN04011684.1	chrUn_NT_471334v1
AADN04011685.1	chrUn_NT_471335v1
AADN04011687.1	chrUn_NT_471336v1
AADN04011689.1	chrUn_NT_471337v1
AADN04011693.1	chrUn_NT_471340v1
AADN04011691.1	chrUn_NT_471338v1
AADN04011692.1	chrUn_NT_471339v1
AADN04011678.1	chr5_NT_460574v1_random
AADN04011694.1	chrUn_NT_471341v1
AADN04011834.1	chr2_NT_458318v1_random
AADN04011702.1	chrUn_NT_471346v1
AADN04011728.1	chr8_NT_461432v1_random
AADN04011695.1	chrUn_NT_471342v1
AADN04011714.1	chr2_NT_458312v1_random
AADN04011749.1	chr2_NT_458314v1_random
AADN04011700.1	chrUn_NT_471344v1
AADN04011710.1	chrUn_NT_471350v1
AADN04011882.1	chr7_NT_461166v1_random
AADN04011699.1	chrUn_NT_471343v1
AADN04011701.1	chrUn_NT_471345v1
AADN04011703.1	chrUn_NT_471347v1
AADN04011704.1	chr9_NT_461631v1_random
AADN04011707.1	chrUn_NT_471348v1
AADN04011712.1	chrUn_NT_471351v1
AADN04011708.1	chrUn_NT_471349v1
AADN04011696.1	chr6_NT_460923v1_random
AADN04011716.1	chr6_NT_460924v1_random
AADN04011797.1	chr7_NT_461163v1_random
AADN04011863.1	chr18_NT_462672v1_random
AADN04011784.1	chr1_NT_456840v1_random
AADN04011724.1	chrUn_NT_471356v1
AADN04011859.1	chr1_NT_456846v1_random
AADN04011715.1	chrUn_NT_471352v1
AADN04011773.1	chr1_NT_456838v1_random
AADN04011718.1	chr5_NT_460576v1_random
AADN04011722.1	chrUn_NT_471354v1
AADN04011723.1	chrUn_NT_471355v1
AADN04011721.1	chrUn_NT_471353v1
AADN04011725.1	chrUn_NT_471357v1
AADN04011786.1	chr3_NT_459279v1_random
AADN04011810.1	chr19_NT_462748v1_random
AADN04011949.1	chr12_NT_462099v1_random
AADN04011726.1	chrUn_NT_471358v1
AADN04011729.1	chrUn_NT_471359v1
AADN04011730.1	chrUn_NT_471360v1
AADN04011934.1	chr1_NT_456853v1_random
KQ759688.1	chrUn_NT_471373v1
AADN04011727.1	chr1_NT_456832v1_random
AADN04011828.1	chr14_NT_462396v1_random
AADN04011732.1	chrUn_NT_471361v1
AADN04011733.1	chrUn_NT_471362v1
AADN04011735.1	chrUn_NT_471363v1
AADN04011781.1	chr12_NT_462098v1_random
AADN04011832.1	chr1_NT_456842v1_random
AADN04011985.1	chr17_NT_462602v1_random
AADN04011737.1	chrUn_NT_471364v1
AADN04011739.1	chrUn_NT_471366v1
AADN04011738.1	chrUn_NT_471365v1
AADN04011740.1	chrUn_NT_471367v1
AADN04011742.1	chrUn_NT_471368v1
AADN04011671.1	chr3_NT_459275v1_random
AADN04011788.1	chrUn_NT_471391v1
AADN04011803.1	chr3_NT_459280v1_random
AADN04011743.1	chrUn_NT_471369v1
AADN04011821.1	chr9_NT_461633v1_random
AADN04011835.1	chr2_NT_458319v1_random
AADN04011744.1	chr3_NT_459278v1_random
AADN04011762.1	chr5_NT_460579v1_random
AADN04011880.1	chr14_NT_462397v1_random
AADN04011746.1	chr1_NT_456834v1_random
AADN04011747.1	chrUn_NT_471370v1
AADN04008035.1	chrZ_NT_463922v1_random
AADN04011750.1	chrUn_NT_471372v1
AADN04011731.1	chr1_NT_456833v1_random
AADN04011748.1	chrUn_NT_471371v1
AADN04011815.1	chr3_NT_459281v1_random
AADN04011760.1	chrUn_NT_471376v1
AADN04011754.1	chr22_NT_463037v1_random
AADN04011755.1	chrUn_NT_471374v1
AADN04011790.1	chrUn_NT_471392v1
AADN04011751.1	chr1_NT_456835v1_random
AADN04011756.1	chrUn_NT_471375v1
AADN04011925.1	chr1_NT_456851v1_random
AADN04011761.1	chrUn_NT_471377v1
AADN04011766.1	chr1_NT_456837v1_random
AADN04012156.1	chr2_NT_458347v1_random
AADN04011758.1	chr5_NT_460578v1_random
AADN04011763.1	chrUn_NT_471378v1
AADN04011765.1	chrUn_NT_471379v1
AADN04011767.1	chrUn_NT_471380v1
AADN04011768.1	chrUn_NT_471381v1
AADN04011769.1	chr25_NT_463229v1_random
AADN04011770.1	chrUn_NT_471382v1
AADN04011780.1	chrUn_NT_471387v1
AADN04011825.1	chr2_NT_458316v1_random
AADN04011814.1	chr16_NT_462562v1_random
AADN04011871.1	chr7_NT_461165v1_random
AADN04011772.1	chrUn_NT_471383v1
AADN04011774.1	chr1_NT_456839v1_random
AADN04011775.1	chrUn_NT_471384v1
AADN04011948.1	chr28_NT_463386v1_random
AADN04011778.1	chrUn_NT_471385v1
AADN04011898.1	chr1_NT_456850v1_random
AADN04011836.1	chr1_NT_456843v1_random
KQ759689.1	chrUn_NT_471412v1
AADN04011833.1	chr2_NT_458317v1_random
AADN04011779.1	chrUn_NT_471386v1
AADN04011785.1	chrUn_NT_471389v1
AADN04011806.1	chrUn_NT_471404v1
AADN04011783.1	chrUn_NT_471388v1
AADN04011789.1	chrW_NT_463531v1_random
AADN04011792.1	chrUn_NT_471394v1
AADN04011878.1	chr4_NT_460034v1_random
AADN04011787.1	chrUn_NT_471390v1
AADN04011890.1	chr10_NT_461781v1_random
AADN04011956.1	chr3_NT_459286v1_random
AADN04011791.1	chrUn_NT_471393v1
AADN04011813.1	chrUn_NT_471409v1
AADN04011793.1	chrUn_NT_471395v1
AADN04011795.1	chrUn_NT_471396v1
AADN04011804.1	chrUn_NT_471403v1
AADN04011846.1	chr2_NT_458321v1_random
AADN04011844.1	chr2_NT_458320v1_random
AADN04011875.1	chr2_NT_458324v1_random
AADN04011892.1	chr3_NT_459284v1_random
AADN04011929.1	chr4_NT_460035v1_random
AADN04011796.1	chrUn_NT_471397v1
AADN04011798.1	chrUn_NT_471398v1
AADN04011799.1	chrUn_NT_471399v1
AADN04011802.1	chrUn_NT_471402v1
AADN04011800.1	chrUn_NT_471400v1
AADN04011801.1	chrUn_NT_471401v1
AADN04011808.1	chrUn_NT_471406v1
AADN04011805.1	chr7_NT_461164v1_random
AADN04011869.1	chr2_NT_458323v1_random
AADN04011720.1	chr3_NT_459277v1_random
AADN04011809.1	chrUn_NT_471407v1
AADN04011807.1	chrUn_NT_471405v1
AADN04011811.1	chrUn_NT_471408v1
AADN04011816.1	chrUn_NT_471410v1
AADN04011884.1	chr11_NT_461946v1_random
AADN04011817.1	chrUn_NT_471411v1
AADN04011820.1	chrUn_NT_471413v1
AADN04011822.1	chr1_NT_456841v1_random
AADN04011823.1	chrUn_NT_471414v1
AADN04011771.1	chr2_NT_458315v1_random
AADN04011826.1	chrUn_NT_471416v1
AADN04011827.1	chrUn_NT_471417v1
AADN04011829.1	chrUn_NT_471418v1
AADN04011831.1	chrUn_NT_471419v1
AADN04011933.1	chr11_NT_461947v1_random
AADN04011830.1	chr3_NT_459282v1_random
AADN04011947.1	chr1_NT_456854v1_random
AADN04011847.1	chr1_NT_456844v1_random
AADN04011824.1	chrUn_NT_471415v1
AADN04011838.1	chrUn_NT_471420v1
AADN04011839.1	chrUn_NT_471421v1
AADN04011841.1	chrUn_NT_471423v1
KQ759690.1	chrUn_NT_471433v1
AADN04011968.1	chr4_NT_460036v1_random
AADN04011842.1	chr4_NT_460032v1_random
AADN04011843.1	chrUn_NT_471424v1
AADN04011845.1	chrUn_NT_471425v1
AADN04011849.1	chrUn_NT_471426v1
AADN04011851.1	chrUn_NT_471428v1
AADN04012007.1	chr17_NT_462603v1_random
AADN04011850.1	chrUn_NT_471427v1
AADN04011852.1	chrUn_NT_471429v1
AADN04011853.1	chrUn_NT_471430v1
AADN04011840.1	chrUn_NT_471422v1
AADN04011855.1	chrUn_NT_471432v1
AADN04011856.1	chr1_NT_456845v1_random
AADN04011860.1	chr1_NT_456847v1_random
AADN04011861.1	chr4_NT_460033v1_random
AADN04011862.1	chr1_NT_456848v1_random
AADN04011854.1	chrUn_NT_471431v1
AADN04011864.1	chrUn_NT_471434v1
AADN04011865.1	chrUn_NT_471435v1
AADN04011867.1	chr1_NT_456849v1_random
AADN04011944.1	chr13_NT_462263v1_random
AADN04011866.1	chrUn_NT_471436v1
AADN04011868.1	chrUn_NT_471437v1
AADN04011920.1	chr2_NT_458326v1_random
AADN04011870.1	chrUn_NT_471438v1
AADN04011872.1	chrUn_NT_471439v1
AADN04011873.1	chrUn_NT_471440v1
AADN04011874.1	chrUn_NT_471441v1
AADN04011876.1	chrUn_NT_471442v1
AADN04011877.1	chr17_NT_462601v1_random
KQ759390.1	chr2_NT_458328v1_random
AADN04011879.1	chrUn_NT_471443v1
AADN04011881.1	chrZ_NT_464010v1_random
AADN04011886.1	chrUn_NT_471446v1
AADN04011883.1	chrUn_NT_471444v1
AADN04011895.1	chr3_NT_459285v1_random
AADN04012012.1	chr4_NT_460039v1_random
AADN04011986.1	chr1_NT_456856v1_random
AADN04011885.1	chrUn_NT_471445v1
AADN04011887.1	chrUn_NT_471447v1
AADN04011888.1	chrUn_NT_471448v1
AADN04011889.1	chrUn_NT_471449v1
AADN04011891.1	chrUn_NT_471450v1
AADN04011926.1	chrUn_NT_471472v1
AADN04011893.1	chrUn_NT_471451v1
AADN04011896.1	chrUn_NT_471453v1
AADN04011897.1	chrZ_NT_464011v1_random
AADN04011899.1	chrUn_NT_471454v1
AADN04011902.1	chrUn_NT_471457v1
KQ759691.1	chrUn_NT_471459v1
AADN04011983.1	chr4_NT_460038v1_random
AADN04011894.1	chrUn_NT_471452v1
AADN04011900.1	chrUn_NT_471455v1
AADN04011901.1	chrUn_NT_471456v1
AADN04011921.1	chrUn_NT_471470v1
AADN04011903.1	chrUn_NT_471458v1
AADN04011907.1	chrZ_NT_464012v1_random
AADN04011906.1	chrUn_NT_471460v1
AADN04011909.1	chrUn_NT_471462v1
AADN04011908.1	chrUn_NT_471461v1
AADN04011976.1	chr2_NT_458331v1_random
AADN04012019.1	chr20_NT_462876v1_random
AADN04012110.1	chr2_NT_458340v1_random
AADN04011910.1	chrUn_NT_471463v1
AADN04011913.1	chrUn_NT_471464v1
AADN04011914.1	chrUn_NT_471465v1
AADN04011915.1	chrUn_NT_471466v1
AADN04012038.1	chr21_NT_462964v1_random
AADN04011916.1	chrUn_NT_471467v1
AADN04011918.1	chrUn_NT_471468v1
AADN04011919.1	chrUn_NT_471469v1
AADN04011922.1	chr6_NT_460925v1_random
AADN04011923.1	chr2_NT_458327v1_random
AADN04011924.1	chrUn_NT_471471v1
AADN04011975.1	chr4_NT_460037v1_random
AADN04011917.1	chr8_NT_461434v1_random
AADN04011928.1	chrUn_NT_471473v1
AADN04011930.1	chrUn_NT_471474v1
AADN04011931.1	chrUn_NT_471475v1
AADN04011932.1	chr1_NT_456852v1_random
AADN04011962.1	chr2_NT_458329v1_random
AADN04011935.1	chrUn_NT_471476v1
AADN04011936.1	chrUn_NT_471477v1
AADN04012059.1	chr13_NT_462264v1_random
AADN04011937.1	chrUn_NT_471478v1
AADN04012046.1	chr1_NT_456861v1_random
AADN04011941.1	chrUn_NT_471479v1
AADN04011942.1	chrUn_NT_471480v1
AADN04011943.1	chrZ_NT_464014v1_random
AADN04011978.1	chr2_NT_458332v1_random
AADN04011945.1	chrUn_NT_471481v1
AADN04011946.1	chrUn_NT_471482v1
AADN04012004.1	chr3_NT_459287v1_random
AADN04011979.1	chr2_NT_458333v1_random
AADN04012018.1	chr4_NT_460041v1_random
AADN04011950.1	chrUn_NT_471483v1
AADN04011951.1	chrUn_NT_471484v1
AADN04011967.1	chr6_NT_460926v1_random
AADN04012021.1	chr12_NT_462100v1_random
AADN04011911.1	chr8_NT_461433v1_random
AADN04011952.1	chrUn_NT_471485v1
AADN04011992.1	chrUn_NT_471509v1
AADN04011954.1	chrUn_NT_471486v1
AADN04011955.1	chrUn_NT_471487v1
AADN04011957.1	chrUn_NT_471488v1
AADN04011958.1	chrUn_NT_471489v1
AADN04011959.1	chrUn_NT_471490v1
AADN04011960.1	chrUn_NT_471491v1
AADN04012002.1	chr2_NT_458334v1_random
AADN04012080.1	chr5_NT_460582v1_random
AADN04011940.1	chr8_NT_461435v1_random
AADN04011953.1	chr1_NT_456855v1_random
AADN04011963.1	chrUn_NT_471492v1
AADN04011965.1	chrUn_NT_471494v1
AADN04011972.1	chrUn_NT_471498v1
AADN04012001.1	chr1_NT_456859v1_random
AADN04012159.1	chr12_NT_462101v1_random
AADN04011961.1	chrW_NT_463532v1_random
AADN04011964.1	chrUn_NT_471493v1
AADN04011966.1	chrUn_NT_471495v1
AADN04011970.1	chr2_NT_458330v1_random
AADN04011971.1	chrUn_NT_471497v1
AADN04012033.1	chrLGE64_NT_464118v1_random
AADN04011969.1	chrUn_NT_471496v1
AADN04011973.1	chrUn_NT_471499v1
AADN04012015.1	chr4_NT_460040v1_random
AADN04011974.1	chrUn_NT_471500v1
AADN04012050.1	chr1_NT_456862v1_random
AADN04011977.1	chrUn_NT_471501v1
AADN04012054.1	chr3_NT_459288v1_random
AADN04011980.1	chrUn_NT_471502v1
AADN04012016.1	chrUn_NT_471526v1
AADN04012070.1	chr1_NT_456863v1_random
AADN04011981.1	chrUn_NT_471503v1
AADN04011982.1	chrUn_NT_471504v1
AADN04012148.1	chr17_NT_462604v1_random
AADN04011984.1	chrUn_NT_471505v1
AADN04011991.1	chr1_NT_456858v1_random
AADN04012000.1	chr6_NT_460927v1_random
AADN04012082.1	chr2_NT_458338v1_random
AADN04012043.1	chr2_NT_458337v1_random
AADN04011987.1	chrUn_NT_471506v1
AADN04011988.1	chrUn_NT_471507v1
AADN04011990.1	chrUn_NT_471508v1
AADN04011997.1	chrUn_NT_471514v1
AADN04012112.1	chr1_NT_456869v1_random
AADN04012108.1	chr3_NT_459292v1_random
AADN04011993.1	chrUn_NT_471510v1
AADN04011994.1	chrUn_NT_471511v1
AADN04012062.1	chr19_NT_462749v1_random
AADN04011996.1	chrUn_NT_471513v1
AADN04011998.1	chrUn_NT_471515v1
AADN04011999.1	chrUn_NT_471516v1
AADN04012035.1	chr1_NT_456860v1_random
